nominal_injection_rate,seed,model,precision,recall,f1,fpr,fnr,alert_rate,tp,fp,fn,tn,ap,auc_roc,recall_delay,n_test_delay,recall_repeat,n_test_repeat,recall_volume,n_test_volume,recall_timestamp,n_test_timestamp
0.1,204,Rule60s,0.3125,0.07462686567164178,0.12048192771084337,0.05759162303664921,0.9253731343283582,0.06201550387596899,5,11,62,180,,,1.0,4,0.0625,16,0.0,46,0.0,1.0
0.1,205,IF,0.2698412698412698,0.9315068493150684,0.41846153846153844,0.968421052631579,0.0684931506849315,0.9581749049429658,68,184,5,6,0.34668042680586936,0.44405191059841387,1.0,11,1.0,12,0.8958333333333334,48,1.0,2.0
0.1,205,OCSVM,0.28185328185328185,1.0,0.4397590361445783,0.9789473684210527,0.0,0.9847908745247148,73,186,0,4,0.40727052034551803,0.4996395097332372,1.0,11,1.0,12,1.0,48,1.0,2.0
0.1,205,RF,0.7974683544303798,0.863013698630137,0.8289473684210527,0.08421052631578947,0.136986301369863,0.30038022813688214,63,16,10,174,0.8494983771140834,0.9180245133381398,1.0,11,0.4166666666666667,12,0.9791666666666666,48,0.0,2.0
0.1,205,Rule60s,0.8,0.1643835616438356,0.2727272727272727,0.015789473684210527,0.8356164383561644,0.057034220532319393,12,3,61,187,,,1.0,11,0.08333333333333333,12,0.0,48,0.0,2.0
0.1,206,IF,0.25882352941176473,0.9705882352941176,0.4086687306501548,0.9947368421052631,0.029411764705882353,0.9883720930232558,66,189,2,1,0.25249667958191535,0.37906346749226005,1.0,4,1.0,14,0.96,50,,
0.1,206,OCSVM,0.2559055118110236,0.9558823529411765,0.40372670807453415,0.9947368421052631,0.04411764705882353,0.9844961240310077,65,189,3,1,0.28791286320837933,0.4311532507739938,1.0,4,0.9285714285714286,14,0.96,50,,
0.1,206,RF,0.7037037037037037,0.8382352941176471,0.7651006711409396,0.12631578947368421,0.16176470588235295,0.313953488372093,57,24,11,166,0.7701593172360955,0.9028637770897833,1.0,4,0.35714285714285715,14,0.96,50,,
0.1,206,Rule60s,0.3333333333333333,0.07352941176470588,0.12048192771084337,0.05263157894736842,0.9264705882352942,0.05813953488372093,5,10,63,180,,,1.0,4,0.07142857142857142,14,0.0,50,,
0.1,207,IF,0.2753623188405797,0.8636363636363636,0.4175824175824176,0.7853403141361257,0.13636363636363635,0.8054474708171206,57,150,9,41,0.37433634686452893,0.5704029827066477,1.0,8,0.8823529411764706,17,0.8157894736842105,38,1.0,3.0
0.1,207,OCSVM,0.26519337016574585,0.7272727272727273,0.38866396761133604,0.6963350785340314,0.2727272727272727,0.7042801556420234,48,133,18,58,0.40855927961336064,0.5708789465333968,1.0,8,0.6470588235294118,17,0.6842105263157895,38,1.0,3.0
0.1,207,RF,0.6619718309859155,0.7121212121212122,0.6861313868613139,0.1256544502617801,0.2878787878787879,0.27626459143968873,47,24,19,167,0.7265915500181102,0.8559019514516896,1.0,8,0.23529411764705882,17,0.9210526315789473,38,0.0,3.0
0.1,207,Rule60s,0.5769230769230769,0.22727272727272727,0.32608695652173914,0.05759162303664921,0.7727272727272727,0.10116731517509728,15,11,51,180,,,1.0,8,0.0,17,0.18421052631578946,38,0.0,3.0
